test_id,node,test_category,test_description,test,result,failure_reason
108,DC1-LEAF2A,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: DC1-SPINE2_Ethernet3,PASS,
109,DC1-LEAF2B,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: DC1-LEAF2A_Ethernet3,PASS,
110,DC1-LEAF2B,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: DC1-LEAF2A_Ethernet4,PASS,
111,DC1-LEAF2B,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: DC1-SPINE1_Ethernet4,PASS,
112,DC1-LEAF2B,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: DC1-SPINE2_Ethernet4,PASS,
113,DC1-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: DC1-LEAF1A_Ethernet1,PASS,
114,DC1-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: DC1-LEAF1B_Ethernet1,PASS,
115,DC1-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: DC1-LEAF2A_Ethernet1,PASS,
116,DC1-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: DC1-LEAF2B_Ethernet1,PASS,
117,DC1-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: DC1-LEAF1A_Ethernet2,PASS,
118,DC1-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: DC1-LEAF1B_Ethernet2,PASS,
119,DC1-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: DC1-LEAF2A_Ethernet2,PASS,
120,DC1-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: DC1-LEAF2B_Ethernet2,PASS,
121,DC1-LEAF1A,MLAG,MLAG State active & Status connected,MLAG,PASS,
122,DC1-LEAF1B,MLAG,MLAG State active & Status connected,MLAG,PASS,
123,DC1-LEAF2A,MLAG,MLAG State active & Status connected,MLAG,PASS,
124,DC1-LEAF2B,MLAG,MLAG State active & Status connected,MLAG,PASS,
125,DC1-LEAF1A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1A_Ethernet1 - Destination: DC1-SPINE1_Ethernet1,PASS,
126,DC1-LEAF1A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1A_Ethernet2 - Destination: DC1-SPINE2_Ethernet1,PASS,
127,DC1-LEAF1B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1B_Ethernet1 - Destination: DC1-SPINE1_Ethernet2,PASS,
128,DC1-LEAF1B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1B_Ethernet2 - Destination: DC1-SPINE2_Ethernet2,PASS,
129,DC1-LEAF2A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2A_Ethernet1 - Destination: DC1-SPINE1_Ethernet3,PASS,
130,DC1-LEAF2A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2A_Ethernet2 - Destination: DC1-SPINE2_Ethernet3,PASS,
131,DC1-LEAF2B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2B_Ethernet1 - Destination: DC1-SPINE1_Ethernet4,PASS,
132,DC1-LEAF2B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2B_Ethernet2 - Destination: DC1-SPINE2_Ethernet4,PASS,
133,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet1 - Destination: DC1-LEAF1A_Ethernet1,PASS,
134,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet2 - Destination: DC1-LEAF1B_Ethernet1,PASS,
135,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet3 - Destination: DC1-LEAF2A_Ethernet1,PASS,
136,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet4 - Destination: DC1-LEAF2B_Ethernet1,PASS,
137,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet1 - Destination: DC1-LEAF1A_Ethernet2,PASS,
138,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet2 - Destination: DC1-LEAF1B_Ethernet2,PASS,
139,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet3 - Destination: DC1-LEAF2A_Ethernet2,PASS,
140,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet4 - Destination: DC1-LEAF2B_Ethernet2,PASS,
141,DC1-LEAF1A,BGP,ArBGP is configured and operating,ArBGP,PASS,
142,DC1-LEAF1B,BGP,ArBGP is configured and operating,ArBGP,PASS,
143,DC1-LEAF2A,BGP,ArBGP is configured and operating,ArBGP,PASS,
144,DC1-LEAF2B,BGP,ArBGP is configured and operating,ArBGP,PASS,
145,DC1-SPINE1,BGP,ArBGP is configured and operating,ArBGP,PASS,
146,DC1-SPINE2,BGP,ArBGP is configured and operating,ArBGP,PASS,
147,DC1-LEAF1A,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.1.97,PASS,
148,DC1-LEAF1A,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.0,PASS,
149,DC1-LEAF1A,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.2,PASS,
150,DC1-LEAF1B,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.1.96,PASS,
151,DC1-LEAF1B,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.4,PASS,
152,DC1-LEAF1B,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.6,PASS,
153,DC1-LEAF2A,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.1.101,PASS,
154,DC1-LEAF2A,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.8,PASS,
155,DC1-LEAF2A,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.10,PASS,
156,DC1-LEAF2B,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.1.100,PASS,
157,DC1-LEAF2B,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.12,PASS,
158,DC1-LEAF2B,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.14,PASS,
159,DC1-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.1,PASS,
160,DC1-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.5,PASS,
161,DC1-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.9,PASS,
162,DC1-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.13,PASS,
163,DC1-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.3,PASS,
164,DC1-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.7,PASS,
165,DC1-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.11,PASS,
166,DC1-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.255.15,PASS,
167,DC1-LEAF1A,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.1,PASS,
168,DC1-LEAF1A,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.2,PASS,
169,DC1-LEAF1B,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.1,PASS,
170,DC1-LEAF1B,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.2,PASS,
171,DC1-LEAF2A,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.1,PASS,
172,DC1-LEAF2A,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.2,PASS,
173,DC1-LEAF2B,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.1,PASS,
174,DC1-LEAF2B,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.2,PASS,
175,DC1-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.3,PASS,
176,DC1-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.4,PASS,
177,DC1-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.5,PASS,
178,DC1-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.6,PASS,
179,DC1-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.3,PASS,
180,DC1-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.4,PASS,
181,DC1-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.5,PASS,
182,DC1-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.255.0.6,PASS,
183,DC1-LEAF1A,Routing Table,Remote VTEP address,10.255.1.3,PASS,
184,DC1-LEAF1A,Routing Table,Remote VTEP address,10.255.1.5,PASS,
185,DC1-LEAF1B,Routing Table,Remote VTEP address,10.255.1.3,PASS,
186,DC1-LEAF1B,Routing Table,Remote VTEP address,10.255.1.5,PASS,
187,DC1-LEAF2A,Routing Table,Remote VTEP address,10.255.1.3,PASS,
188,DC1-LEAF2A,Routing Table,Remote VTEP address,10.255.1.5,PASS,
189,DC1-LEAF2B,Routing Table,Remote VTEP address,10.255.1.3,PASS,
190,DC1-LEAF2B,Routing Table,Remote VTEP address,10.255.1.5,PASS,
191,DC1-LEAF1A,Routing Table,Remote Lo0 address,10.255.0.3,PASS,
192,DC1-LEAF1A,Routing Table,Remote Lo0 address,10.255.0.4,PASS,
193,DC1-LEAF1A,Routing Table,Remote Lo0 address,10.255.0.5,PASS,
194,DC1-LEAF1A,Routing Table,Remote Lo0 address,10.255.0.6,PASS,
195,DC1-LEAF1A,Routing Table,Remote Lo0 address,10.255.0.1,PASS,
196,DC1-LEAF1A,Routing Table,Remote Lo0 address,10.255.0.2,PASS,
197,DC1-LEAF1B,Routing Table,Remote Lo0 address,10.255.0.3,PASS,
198,DC1-LEAF1B,Routing Table,Remote Lo0 address,10.255.0.4,PASS,
199,DC1-LEAF1B,Routing Table,Remote Lo0 address,10.255.0.5,PASS,
200,DC1-LEAF1B,Routing Table,Remote Lo0 address,10.255.0.6,PASS,
201,DC1-LEAF1B,Routing Table,Remote Lo0 address,10.255.0.1,PASS,
202,DC1-LEAF1B,Routing Table,Remote Lo0 address,10.255.0.2,PASS,
203,DC1-LEAF2A,Routing Table,Remote Lo0 address,10.255.0.3,PASS,
204,DC1-LEAF2A,Routing Table,Remote Lo0 address,10.255.0.4,PASS,
205,DC1-LEAF2A,Routing Table,Remote Lo0 address,10.255.0.5,PASS,
206,DC1-LEAF2A,Routing Table,Remote Lo0 address,10.255.0.6,PASS,
207,DC1-LEAF2A,Routing Table,Remote Lo0 address,10.255.0.1,PASS,
208,DC1-LEAF2A,Routing Table,Remote Lo0 address,10.255.0.2,PASS,
209,DC1-LEAF2B,Routing Table,Remote Lo0 address,10.255.0.3,PASS,
210,DC1-LEAF2B,Routing Table,Remote Lo0 address,10.255.0.4,PASS,
211,DC1-LEAF2B,Routing Table,Remote Lo0 address,10.255.0.5,PASS,
212,DC1-LEAF2B,Routing Table,Remote Lo0 address,10.255.0.6,PASS,
213,DC1-LEAF2B,Routing Table,Remote Lo0 address,10.255.0.1,PASS,
214,DC1-LEAF2B,Routing Table,Remote Lo0 address,10.255.0.2,PASS,
215,DC1-LEAF1A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1A - 10.255.0.3 Destination: 10.255.0.3,PASS,
216,DC1-LEAF1A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1A - 10.255.0.3 Destination: 10.255.0.4,PASS,
217,DC1-LEAF1A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1A - 10.255.0.3 Destination: 10.255.0.5,PASS,
218,DC1-LEAF1A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1A - 10.255.0.3 Destination: 10.255.0.6,PASS,
219,DC1-LEAF1A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1A - 10.255.0.3 Destination: 10.255.0.1,PASS,
220,DC1-LEAF1A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1A - 10.255.0.3 Destination: 10.255.0.2,PASS,
221,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.3,PASS,
222,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.4,PASS,
223,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.5,PASS,
224,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.6,PASS,
225,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.1,PASS,
226,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.2,PASS,
227,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.3,PASS,
228,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.4,PASS,
229,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.5,PASS,
230,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.6,PASS,
231,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.1,PASS,
232,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.2,PASS,
233,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.3,PASS,
234,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.4,PASS,
235,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.5,PASS,
236,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.6,PASS,
237,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.1,PASS,
238,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.2,PASS,
